Study,Equipment,Component,EmissionsKgD
Allen2013,NR,PC,0.072801115
Allen2013,NR,PC,3.405820223
Allen2013,NR,PC,0.257811093
Allen2013,NR,PC,0.312087112
Allen2013,NR,PC,0.174722675
Allen2013,NR,PC,0.015285626
Allen2013,NR,PC,0.168141882
Allen2014a,PC,PC,2.86
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.6
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.63
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0.11
Allen2014a,PC,PC,5.04
Allen2014a,PC,PC,0.93
Allen2014a,PC,PC,1.83
Allen2014a,PC,PC,0.44
Allen2014a,PC,PC,41.28
Allen2014a,PC,PC,2.88
Allen2014a,PC,PC,0.31
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,7.81
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0.04
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.03
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.06
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0.09
Allen2014a,PC,PC,0.01
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.53
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.04
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.23
Allen2014a,PC,PC,0.03
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.2
Allen2014a,PC,PC,2.95
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.1
Allen2014a,PC,PC,0
Allen2014a,PC,PC,49.68
Allen2014a,PC,PC,0.24
