O/G,n_VENT,TB_SMALL_VENT,TB_SMALL_FLARE
Oil,7,0.126810176,
Oil,4,0.38630137,
Oil,4,0.44109589,
Oil,6,0.699543379,
Oil,19,0.418168709,
Oil,36,1.325418569,
Oil,146,0.051416776,
Oil,34,0.04544722,
Oil,7,0.536203523,
Oil,51,0.017190438,
Oil,12,0.073059361,
Oil,12,0.716894977,
Oil,117,0.026460602,
Oil,28,0.007827789,
Oil,2,0.219178082,
Oil,4,1.390410959,
Gas,6,1.698630137,
Gas,11,1.093399751,
Gas,13,0.143308746,
Gas,2,12.04109589,
Oil,109,0,
Oil,3,6.164383562,
Gas,22,0.714819427,
Oil,23,3.818939845,
Gas,96,0.002853881,
Oil,17,0.045124899,
Gas,51,0.015578834,
Oil,15,0.007305936,
Gas,1764,0,
Gas,4,0,
Oil,0,,
Gas,68,0,
Oil,0,,
Gas,4,1.851616438,
Gas,8,1.233639452,
Gas,13,0.356080084,
Gas,5,0.370323288,
Gas,2,0.46290411,
Gas,1,5.101203288,
Gas,29,0.459711667,
Gas,16,0.057863014,
Gas,1,0.219178082,
Oil,1,0.925808219,
Gas,1,7.406465753,
Gas,14,0.015780822,
Oil,2,7.410958904,
Gas,18,0.153729072,
Gas,3,24.07305936,
Gas,82,0.013364517,
Oil,5,0.185205479,
Gas,1,56.47452055,
Gas,33,2.973814861,
Gas,16,0.082876712,
Oil,6,0.036894977,
Oil,1,82.39671233,
Gas,44,0.147297634,
Gas,7,2.645166341,
Gas,33,0.74313325,
Oil,220,0.008416438,
Gas,2,0.220931507,
Gas,2,1.656986301,
Oil,56,0.003945205,
Gas,2,0.220931507,
Oil,3,0.073643836,
Oil,3,0.073643836,
Oil,1,0.220931507,
Oil,1,1.546520548,
Gas,7,0.473424658,
Oil,48,0.039954338,
Oil,18,0.060882801,
Oil,11,0.323785803,
Oil,47,0.711162926,
Gas,49,0.005591278,
Oil,2,22.19178082,
Gas,70,0.070450098,
Oil,43,0.063714559,
Gas,3,12.96803653,
Gas,85,0.009669621,
Oil,8,0.102739726,
Gas,2,0.547945205,
Oil,10,0.02739726,
Oil,2,0.110410959,
Gas,3,0.147305936,
Gas,4,3.886780822,
Gas,103,0.030440218,
Oil,30,0.040474886,
Gas,8,0.055232877,
Oil,5,0.370323288,
Oil,4,1.388712329,
Oil,11,0.020084682,
Oil,2,0.109589041,
Oil,2,2.328767123,
Gas,10,0.082191781,
Gas,1,0.821917808,
Oil,1,73.15068493,
Gas,37,0.148093299,
Gas,1,4.657534247,
Gas,5,21.31506849,
Gas,126,0.0152207,
Gas,1,0.821917808,
Gas,1,0.273972603,
Oil,2,43.56164384,
Gas,100,0.454794521,
Gas,49,0.016773833,
Gas,1,0.547945205,
Oil,1,122.1917808,
Gas,85,0.019339243,
Oil,18,1.278538813,
Gas,53,0.471638149,
Gas,27,0.822940639,
Gas,24,4.281872146,
Gas,157,0.153319955,
Gas,38,0.097447729,
Gas,2,3.703013699,
Gas,10,0.530191781,
Oil,48,0.038812785,
Gas,2,0.093150685,
Oil,1,4.668493151,
Gas,6,0.129680365,
Gas,1,10.46821918,
Oil,19,27.1074261,
Gas,720,0.010273973,
