EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
Grizzly Anadarko Basin,1008200,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,8382552,8382552,675719,,,,,,
Denver Basin - AAPG Province 540,1008202,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],540 - Denver Basin,209659710,207225053,33314693.000001,,,,,,
Powder River Basin - AAPG Province 515,1008203,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],515 - Powder River Basin,70124224,64149922,687722,,,,,,
Green River Basin - AAPG Province 535,1008204,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,32636478,30089621,292111,,,,,,
Crestone Peak - Denver Basin,1008206,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],540 - Denver Basin,58925501.55,58925501.55,9764551.45,,,,,,
Encana Oil & Gas - Piceance Basin,1008207,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],595 - Piceance Basin,166769315.58,166769315.58,532961.51,,,,,,
Ovintiv USA Inc - Wind River Basin,1008208,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],530 - Wind River Basin,12931217.16,12931217.16,122956.88,,,,,,
SWEPI / Green River Basin,1008213,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,0,0,0,,,,,,
Encana Oil & Gas - San Juan Basin,1008216,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],580 - San Juan Basin,10771482.81,10771482.81,2826586.18,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),174263072.8,165633005.2,89032325.3,,,,,,
Apache Corp. GC Onshore - Gulf Coast Basin 220,1008224,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),10658534,9685822,3465280,,,,,,
YPC 430 Permian Basin,1008229,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,27928818.77,26484790.24,4600574.08,,,,,,
YPC 515 Powder River Basin,1008230,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],515 - Powder River Basin,28285534.84,28047867.8,3733859.21,,,,,,
YPC 535 Green River Basin,1008232,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,5129340.44,4935464.44,52888.86,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,66704989.2940578,66321897.31,3076755.04,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),29001375.52,28849349.02,737208.09,,,,,,
Unit Petroleum 145 Chautauqua Platform Basin,1008244,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],355 - Chautauqua Platform,1078478.9432602,1055271.96,185842.35,,,,,,
Kinder Morgan Production 430 Permian Basin,1008248,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,465718479.1537792,0,21391669.5995131,,,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,13998612,13635884,44603,,,,,,
Central Western Overthrust - AAPG Province 507,1008264,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],507 - Central Western Overthrust,26114348,23913462,159596,,,,,,
Basin 540 Denver Julesburg - Noble Energy Inc.,1008270,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],540 - Denver Basin,157966534.3600003,152597152.9740003,31263860.78,,,,,,
RIM Operating  Inc. San Juan Basin Operations,1008273,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],580 - San Juan Basin,55545274,55294096,29659,,,,,,
XTO Energy Inc 395 Williston,1008275,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],395 - Williston Basin,108187556.148169,90899706.39,57774901,,,,,,
355 Chautauqua Platform DEC,1008286,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],355 - Chautauqua Platform,25535285,25083602,3850663,,,,,,
360 Anadarko Basin DEC,1008287,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,209420466.5,198228522,7104960.1,,,,,,
420 Fort Worth Syncline DEC,1008289,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],420 - Fort Worth Syncline,305245193,289220853,760379.3,,,,,,
