EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
430 Permian Basin DEC,1008290,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,119889427,101922344,29216687.5,,,,,,
Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),1008293,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),113156906,107730153,56231300,,,,,,
507 Central Western Overthrust QEP Energy Company,1008294,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],507 - Central Western Overthrust,1961369.5,1920350.4,22949.4,,,,,,
535 Green River Basin QEP Energy Company,1008295,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,206006775.4,205945858.7,1581296.7,,,,,,
Caerus Piceance LLC,1008296,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],595 - Piceance Basin,30132552,30132552,33079,,,,,,
XPR Resources LLC,1008298,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),16154147.26,13994952.77,0,,,,,,
LAMBDA ENERGY RESOURCES  LLC-Michigan Basin,1008299,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],305 - Michigan Basin,10113266.73,897297.65,887482.02,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,24854963.1278358,24058901.7765632,877206.5730593,,,,,,
Berry Petroleum Company - Los Angeles Basin 760,1008308,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],760 - Los Angeles Basin,1133533.1,0,1812637.2,,,,,,
Samson Resources 360 Anadarko Basin,1008321,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,39582600.2,38211284.9,1258807.9,,,,,,
Foundation Energy Management 595 Piceance Basin,1008323,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],595 - Piceance Basin,1848872,1827469,12739,,,,,,
Basin 595 Piceance - Noble Energy Inc.,1008328,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],595 - Piceance Basin,665033,656015,1077.55,,,,,,
Ovintiv USA Inc - Permian Basin,1008331,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,33168710.24,33168710.24,12263002.41,,,,,,
Samson Resources 230 Arkla Basin,1008341,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,5717266.7,5308869,14107.5,,,,,,
Aera Energy San Joaquin Basin,1008346,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],745 - San Joaquin Basin,13271638.78,0,37860479.39,,,,,,
Trendwell Energy Corporation,1008348,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],305 - Michigan Basin,6182639,4104621,31849,,,,,,
DJ Resources Inc - DJ Basin (AAPG Basin Number 540),1008349,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],540 - Denver Basin,20387,0,5263,,,,,,
EOG Resources  Inc. 160A Appalachian basin (Eastern Overthrust area),1008350,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),17064398.3,16523667.1,0,,,,,,
EOG Resources  Inc. 430 Permian basin,1008351,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,84448328.6,78357952.4,14845051,,,,,,
EOG Resources  Inc. 360 Anadarko basin,1008352,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,18367884.8,16619276.2,2568467,,,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,11651290.9,11151030.4,282656.8,,,,,,
EOG Resources  Inc. 575 Uinta basin,1008354,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],575 - Uinta Basin,29905891.7,29401161.9,550330.4,,,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],595 - Piceance Basin,265118284.04,246064812.37,550033.877,,,,,,
Aruba Petroleum  Inc. 420 Fort Worth Syncline,1008356,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],420 - Fort Worth Syncline,13125540,13125540,103835,,,,,,
Riviera Resources 305 Michigan Basin Production Segment,1008363,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],305 - Michigan Basin,24241408,17817198,18645,,,,,,
Riviera Resources 430 Permian Basin Production Segment,1008365,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,12277254.6559703,11143300.8258388,3239355.2201637,,,,,,
Newfield.220.Gulf Coast,1008367,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),21225821.4,19418614,1774617.5,,,,,,
Marathon Oil So. Oklahoma Folded Belt (AAPG 350),1008383,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],350 - South Oklahoma Folded Belt,18894784,18878714,649302.9,,,,,,
Sheridan Production Company LLC 260 East Texas Basin,1008392,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],260 - East Texas Basin,49365713,39482448,554149.7,,,,,,
EOG Resources  Inc. 230 Arkla basin,1008394,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,5027030.8,4826447,0,,,,,,
EOG Resources  Inc. 507 Central Western Overthrust,1008395,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],507 - Central Western Overthrust,7036039.6,6906203.6,66817.7,,,,,,
EOG Resources  Inc. 515 Powder River basin,1008396,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],515 - Powder River Basin,18368590.3,17522777.3,4603178.2,,,,,,
SWEPI LP (Shell)  Appalachian Basin (Eastern Overthrust Area) 160A,1008401,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),126651178.46,123822695.65,104084.95,,,,,,
California Resources Production Corporation – San Joaquin Valley Basin 745,1008402,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],745 - San Joaquin Basin,5513845.8606929,2071751.1,13250003.3658205,,,,,,
California Resources Production Corporation – Sacramento Valley Basin 730,1008405,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],730 - Sacramento Basin,20729821.65,19346245.8,14774.27,,,,,,
California Resources Elk Hills  LLC - San Joaquin Valley Production Basin,1008406,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],745 - San Joaquin Basin,128964944.41,67163122.8,13027038.44,,,,,,
Ovintiv USA Inc. 575.Uinta,1008407,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],575 - Uinta Basin,12371329.4,7563163.5,5667551.4,,,,,,
Energen Resources 580 San Juan Basin,1008408,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],580 - San Juan Basin,8948193,8222826,87086,,,,,,
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],760 - Los Angeles Basin,3450425,127753.82,8936765,,,,,,
JMA Energy 360,1008411,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,8234192,8234192,278238.98,,,,,,
Venado Operating Company LLC 220 Gulf Coast Basin,1008439,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),6873478.4,5405909.8,6367333.9,,,,,,
Permian Basin - AAPG Province 430,1008449,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,71033075,70525455,10655451,,,,,,
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,23399853,20582586,4897926,,,,,,
CRI 355 Chautauqua,1008469,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],355 - Chautauqua Platform,4062501,4036530,1290,,,,,,
CRI 395 Williston,1008471,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],395 - Williston Basin,90155971.1539153,59452013.7983158,50685038.050083,,,,,,
CRI 360 Anadarko,1008472,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,70193424.1269809,69025438.9499222,7165396.3855283,,,,,,
Stephens Production Company - ARKOMA Basin,1008474,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],345 - Arkoma Basin,20200000,20200000,0,,,,,,
EnverVest Operating L.L.C.- 430 HighMount Permian,1008475,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,37834921.5,36043515.04,309509.53,,,,,,
Atlas 160A/Appalach Overthrust Basin - PA,1008480,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),35996662,34827185,0,,,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),197673465.8097964,197291712.7799996,0,,,,,,
Talisman Energy USA  Gulf Coast basin - 220,1008482,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),33912792,339612792,3224349,,,,,,
Atlas 160/Appalachia Basin - Ohio,1008483,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160 - Appalachian Basin,10272055,9213849,0,,,,,,
Hess Corporation - 395 - Williston Basin,1008490,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],395 - Williston Basin,82238409,69677790,42781270,,,,,,
BPX Energy Arkla Basin  AAPG Basin 230,1008492,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,224423311.89,224394951.89,218.5,,,,,,
745 San Joaquin Basin Chevron USA Inc.,1008499,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],745 - San Joaquin Basin,7193443.2333,3994287.334,53924124.66,,,,,,
Nytis Exploration Company  LLC 160 Appalachian Basin,1008502,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160 - Appalachian Basin,17052067.9,16871977.1,3396.9,,,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),636192765,635374548.9,26.3,,,,,,
Mid-Gulf Coast Basin Code 210,1008506,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],210 - Mid-Gulf Coast Basin,5090175,4159240,3502821,,,,,,
Rex Energy Corporation Appalachian Basin (160) Operations,1008509,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160 - Appalachian Basin,8175249.4179919,8175249.4179919,247.546,,,,,,
Chesapeake Appalachia LLC  160 - Appalachian Basin,1008521,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160 - Appalachian Basin,29159189.4320527,25273789.5,21585.4,,,,,,
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),682357977.720479,690346674.3,17666.5,,,,,,
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),306185121.6702493,307493619.4,9211145.7,,,,,,
Chesapeake Operating LLC  220 - Gulf Coast Basin,1008526,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),141782013.2158518,135518745.8,49658362.5,,,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,374131932.196903,312748667.7,20455.6,,,,,,
Chesapeake Operating LLC  260 - East Texas Basin,1008528,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],260 - East Texas Basin,561437.5184736,561031,0,,,,,,
Chesapeake Operating LLC  350 - South Oklahoma Folded Belt,1008529,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],350 - South Oklahoma Folded Belt,8608573.7972926,8435138.6,217528.6,,,,,,
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,286069455,271907590.1,14858380.4,,,,,,
Nikaitchuq Development,1008534,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],890 - Arctic Coastal Plains Province,1449561,0,8970400,,,,,,
TEP Barnett USA LLC  415 - Strawn Basin,1008536,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],415 - Strawn Basin,318615788.6198914,312748667.7,20455.6,,,,,,
Chesapeake Operating LLC  515 - Powder River Basin,1008538,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],515 - Powder River Basin,30353724.5035695,29254731.2,4814699.7,,,,,,
Dugan Production Corp- San Juan Basin,1008540,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],580 - San Juan Basin,9670684,8327819,103277,,,,,,
Cimarex Energy Co. 430 Permian,1008544,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,123179583.5,117913501.6,21219287.7,,,,,,
Cimarex Energy Co. 350 South Oklahoma,1008545,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],350 - South Oklahoma Folded Belt,2899435.4,2808234.4,118276.5,,,,,,
BOC 220 Gulf Coast Basin Onshore,1008548,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),272425,10478,171803,,,,,,
360 Anadarko Basin - BP America Production Company,1008558,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,34258974,34866814,519825,,,,,,
Basin 220 South TX & South LA - OSP,1008576,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),547971,330836,1184749.99,,,,,,
Basin 395 North Dakota - OSP,1008577,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],395 - Williston Basin,3484402,2192758,3869437,,,,,,
Cabot OIl & Gas Corporation 260 East Texas Basin,1008579,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],260 - East Texas Basin,8531243.6,7750818.7,69144.4,,,,,,
Valence Operating Co 260 East Texas Basin,1008587,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],260 - East Texas Basin,32216246,32075431,437119,,,,,,
Merit Energy Arkoma Basin  AAPG Basin 345,1008588,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],345 - Arkoma Basin,108823061,108823061,0,,,,,,
Dominion Energy Wexpro - Green River Basin (Prod),1008590,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,45710591.5,45653719.9,204248.6,,,,,,
Duncan Oil Properties  Inc. 360 Anadarko Basin,1008598,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,5796853.45,5796853.45,263940.98,,,,,,
Ensign Gulf Coast Basin-Production,1008604,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),128304110,127492902,25893942,,,,,,
Pioneer Natural Resources USA  Inc.  Anadarko,1008605,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,12749425,9266733,842636,,,,,,
